256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257
256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257,256,257
256,257,210,180,210,170,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,161,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,256,257
256,257,210,210,180,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,256,257
256,257,210,210,209,180,180,180,180,214,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,180,180,180,180,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,256,257
256,257,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,180,180,180,180,180,180,180,210,210,210,210,210,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,210,210,180,180,180,180,180,180,180,180,210,210,210,210,210,210,180,180,180,180,180,180,180,210,256,257
256,257,210,210,210,210,210,210,210,210,210,210,210,210,210,180,180,180,180,210,210,210,210,210,237,237,237,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,140,140,140,140,140,140,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,140,140,140,210,210,210,256,257
236,237,210,210,210,210,210,210,210,210,210,210,210,210,180,180,237,237,237,237,237,237,237,237,180,180,180,237,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,140,237,237,237,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,140,237,237,237,140,210,210,236,237
256,257,257,257,257,257,257,257,257,257,257,210,210,210,210,210,210,210,210,210,210,210,180,180,210,210,210,140,237,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,237,237,210,210,210,210,210,210,210,180,237,237,237,210,210,210,210,210,210,210,210,237,257,210,210,210,210,210,210,210,210,210,210,210,256,257
276,277,210,210,210,210,210,210,210,210,210,257,210,210,305,210,210,210,210,210,210,210,210,210,210,210,210,210,210,237,210,210,210,210,210,210,210,210,210,210,210,210,210,237,237,237,237,210,210,210,210,210,210,210,210,210,210,237,210,210,210,210,210,210,210,210,210,257,210,304,210,210,210,210,210,210,210,210,276,277
